상품명,상품특징,대출신청자격,대출금액,대출기간,대출한도,원리금상환방법,인터넷대출,가입채널,대출신청,특례보증,대출금,통장자동대출,대출종류,대출신청시기,대출지급방법,대출금지급,상환방법,대출신청지점,대출대상주택,대출실행(지급),대출대상,대출실행(지급)시기,보험서비스,임차인,보증신청시기,신청자격,보증금액,보증기간,대상주택,인터넷보증,국민카드,KB국민카드,추가대출
KB 군 간부 전세자금대출(기본),국방부의 “군 간부 전세대부 이자지원 사업” 에 따른 전세자금 대출상품,"부동산중개업소를 통하여 주택임대차계약을 체결하고 관리부대로부터 대출추천을 받은 군 간부로서 서울보증보험㈜의 ‘개인금융신용보험증권’ 발급이 가능한 고객 ※ 임대인 자격 : 임차목적물을 소유한 개인, 공공주택사업자, ㈜부영주택 ※ 보증금과 월세 대부 추천을 동시에 받은 경우 급지별 대부 지원 상한액의 10% 이상 보증금을 설정한 보증부월세 임대차계약에 한합니다.","「기본대출」과 「추가대출」 합계 최대 5억원 이내로 아래 조건 중 작은 금액기준 ☞ 주택임대자금 대부(지원) 추천서의 대부승인금액 ☞ 임차보증금의 100% 이내 ☞ 임차물건지의 선순위 설정최고액과 전세대출금의 합계가 시세(매매가)의 100% 이내 ※ 보증금과 월세 대부 추천을 동시에 받은 경우 임대차보증금액, 보증금 대부승인금액 및 대출금액은 동일해야 합니다.","및 상환 방법 대출기간 : 3개월 이상 3년 이내 (임차계약 종료일 이내, 임대기간 연장시 관리부대 추천을 받은 경우 매회 3년 이내로 연장 가능) 상환방법 : 만기일시상환",,,,,,,,,,신규임차자금 : 입주 7영업일 이전 신청 생활안정자금 : 임차기간 중 신청(계약종료 3개월 이전),,,,,"아파트(주상복합 포함), 연립, 다세대, 단독주택(다가구주택 제외), 주거용오피스텔",,,,,,,,,,,,,,
KB 군 간부 전세자금대출(추가),「KB 군 간부 전세자금대출(기본)」을 신청하거나 보유 중인 군 간부가 추가자금이 필요한 경우 지원하는 대출상품,"「KB 군 간부 전세자금대출(기본)」을 신청하거나 보유 중인 군 간부로 부동산중개업소를 통하여 주택임대차계약을 체결하고 서울보증보험㈜의 ‘개인금융신용보험증권’ 발급이 가능한 고객 ※ 「KB 군 간부 월세자금대출」을 통해 국방부에서 월차임을 지원받거나 「KB 군 간부 전세자금대출(기본)」 대출에 대한 국방부의 이자지원이 중단된 고객은 대출대상이 아닙니다. ※ 임대인 자격 : 임차목적물을 소유한 개인, 공공주택사업자, ㈜부영주택 본인과 배우자(결혼예정자 포함)의 합산 주택보유수가 무주택 또는 1주택 이내인 고객 (주택보유수가 1주택인 경우 보유주택가액이 9억원 초과하는 주택이거나, 2020.7.10일 이후 투기지역 또는 투기과열지구 내 취득시점 시가 3억원 초과 아파트를 구입한 경우는 제외. 단, 실수요 증빙 시 예외취급가능)","「기본대출」과 「추가대출」 합계 최대 5억원 이내로 아래 조건 중 작은 금액기준 ☞ 서울보증보험㈜에서 산출한 등급별 최대 보증한도 ☞ 임차보증금의 95% - 「KB 군 간부 전세자금대출(기본)」 ☞ 시세(매매가)의 80% - 임차물건지 선순위 설정최고액 - 「KB 군 간부 전세자금대출(기본)」 ☞ (1주택 보유자) 3억원 - 「KB 군 간부 전세자금대출(기본)」 ※ 실제 대출금액은 연소득, 부채금액 등 개인별 신용평가에 의해 결정됩니다.","및 상환 방법 대출기간 : 3개월 이상 3년 이내 (임차계약 종료일 이내, 임대기간 연장시 「KB 군 간부 전세자금대출(기본)」을 보유하고 이자지원이 중단되지 않은 경우 매회 3년 이내로 연장 가능) 상환방법 : 만기일시상환, 원(리)금균등 분할상환",,,,,,,,,,신규임차자금 : 입주 7영업일 이전 신청 생활안정자금 : 임차기간 중 신청(계약종료 3개월 이전),,,,,"아파트(주상복합 포함), 연립, 다세대, 단독주택(다가구주택 제외), 주거용오피스텔",,,,,,,,,,,,,,
KB 플러스 전세자금대출 Ⅱ,서울보증보험 보증부 전세자금 대출로 신규전세자금 지원하는 대출상품,"부동산 중개업소를 통하여 임차보증금의 5% 이상을 계약금으로 지급하고 주택임대차계약을 체결한 민법상 성년인 세대주(단독세대주 포함)로 현재 재직중인 직장에서 재직기간이 1년 이상이며 ""서울보증보험증권""이 발급되는 고객 본인과 배우자(결혼예정자 포함)가 합산한 주택보유수가 무주택 또는 1주택 이내인 고객(주택보유수가 1주택인 경우 보유주택가액이 9억원 초과하는 주택이거나, 2020.7.10일 이후 투기지역 또는 투기과열지구 내 취득시점 시가 3억원 초과 아파트를 구입한 경우는 제외. 단, 실수요 증빙 시 예외취급가능)","최고 2억원 이내로 아래 두가지 조건 중 적은 금액기준 ☞ 임차보증금액의 80% 이내 ☞ 임차물건지의 선순위 설정최고액과 전세대출금의 합계가 시세가의 80% 이내 ※ 실제 대출금액은 연소득,부채금액 등 개인별 신용평가에 의해 결정되며, 대출신청금액은 최저 5백만원 이상으로 운용됩니다.","및 상환 방법 대출기간 : 1년 이상 3년 이내 (임차계약 종료일 이내, 임대기간 연장시 매회 최대3년(묵시적연장은 2년)이내로 최장 10년 이내 연장) 상환방법 : 만기일시상환, 원(리)금균등분할상환",,,,,,,,,,신규임차자금: 입주 전 7영업일 이전,,,,,"아파트(주상복합 포함), 연립, 다세대, 주거용 오피스텔, 노인복지주택",,,,,,,,,,,,,,
KB WELCOME PLUS 전세자금대출,서울보증보험 보증부 전세자금 대출로 신규전세자금을 지원하는 대출상품입니다,"부동산 중개업소를 통하여 임차보증금의 5% 이상을 계약금으로 지급하고 주택임대차계약을 체결하고 국내 거주 및 3개월 이상 국내 소득 증빙이 가능한 고객으로 신규대출일 기준 비자* 유효기간이 3개월 이상인 만19세이상 외국인 또는 외국국적동포로서 ""서울보증 보험증권""이 발급되는 고객 본인과 배우자(결혼예정자 포함)가 합산한 주택보유수가 무주택 또는 1주택 이내인 고객 (주택보유수가 1주택인 경우 보유주택가액이 9억원 초과하는 주택이거나, 2020.7.10일 이후 투기지역 또는 투기과열지구 내 취득시점 시가 3억원 초과 아파트를 구입한 경우는 제외. 단, 실수요 증빙 시 예외취급가능) <서울보증보험(주) 개인금융신용보험증권 가입가능 비자유형> 가입가능 비자유형 체류자격 비자유형 체류자격 비자유형 체류자격 비자유형 외교 공무 협정 문화예술 유학 기술연수 취재 종교 A-1 A-2 A-3 D-1 D-2 D-3 D-5 D-6 주재 기업투자 무역경영 구직 교수 회화지도 연구 기술지도 D-7 D-8 D-9 D-10 E-1 E-2 E-3 E-4 전문직업 특정활동 방문동거 거주 재외동포 영주 결혼이민 방문취업 E-5 E-7 F-1 F-2 F-4 F-5 F-6 H-2","최고 2억원 이내로 아래 두가지 조건 중 적은 금액기준 ☞ 임차보증금액의 80% 이내 ☞ 임차물건지의 선순위 설정최고액과 전세대출금의 합계가 시세의 80% 이내 ※ 실제 대출금액은 연소득,부채금액 등 개인별 신용평가에 의해 결정되며, 대출신청금액은 최저 5백만원 이상으로 운용됩니다","및 상환 방법 대출기간 : 3개월이상 2년이내 (임차계약 종료일 이내, 임대기간 연장시 매회 2년 단위로 최장 10년 이내 연장) 상환방법 : 만기일시상환, 원(리)금균등분할상환,혼합상환(일시상환+원리금균등분할상환)",,,,,,,,,,신규임차자금: 입주 전 7영업일 이전 추가대출 : 갱신계약으로 보증금 증액시,,,,,"아파트(주상복합 포함), 연립, 다세대, 주거용오피스텔, 노인복지주택",,,,,,,,,,,,,,
KB 부분분할 전세자금대출,"대출금액 5% 이상 분할상환을 통해 무주택자의 자산형성 및 연말정산 소득공제(주택임차차입금 원리금 상환액공제) 지원 보증비율 100%, 고객부담 보증료 우대(최저 보증료율 0.05% 적용)",아래 내용을 모두 충족하는 민법상 성년인 세대주 또는 세대주로 인정되는 고객 (1) 임차보증금 수도권 5억원(지방 3억원) 이하 (2) 임차보증금의 5% 이상 계약금 지급 (3) 본인과 배우자(결혼예정자 포함)가 모두 무주택자,"최대 2억2천2백만원(임차보증금의 80% 이내) ※ 단, 실제 대출금액은 한국주택금융공사 보증서 발급가능금액 이내로 대출 가능","및 상환 방법 대출기간 : 1년 이상 2년 이내 (임대차계약 종료일 이내, 임대차기간 연장 시 최장 10년 이내 연장 가능) 상환방법 : 혼합상환[원(리)금균등분할상환 + 일시상환] ※ 분할상환금액은 대출금액의 5% 이상(단, 일시상환금액은 최소 10만원 이상) ※ 상환방법 및 분할상환금액은 대출기간 중 변경 불가",,,,,,,,,,신규임차 : 임대차계약서상 잔금지급일과 주민등록전입일 중 빠른 날로부터 3개월 이내 계약갱신 : 계약갱신일(갱신계약서 상 계약시작일 기준)로부터 3개월 이내[임대차계약을 자동기한연장(묵시적 갱신)한 경우에는 연장개시일로부터 3개월 이내],,,,,"아파트(주상복합 포함), 연립, 다세대, 단독/다가구, 주거용 오피스텔, 노인복지주택 ※ 전세(예정)주택이 무허가건물 또는 건물등기사항전부증명서에 소유권 권리침해(압류, 가압류, 경매 등)가 있는 주택 등인 경우 대출불가","시기 신규임차 : 임대차계약서 상 잔금납부일(입주예정일) 7일 이내에서 고객의 위임을 받아 임대인 계좌로 대출금액 입금이 원칙 계약갱신 : 증액금액은 잔금납부일에 고객의 위임을 받아 임대인계좌로 입금. 다만, 전세보증금 증액금액 초과 대출금액 또는 영수증 등으로 증액금액의 납부사실이 확인된 경우에는 임차인 계좌로 입금 가능함.",,,,,,,,,,,,,
KB 청년 맞춤형 월세자금대출,청년층의 주거비용 경감을 위한 금융위원회 정책상품으로 만 19세 이상 만 34세 이하 무주택 청년 대상 은행 대출금리와 한국주택금융공사 보증료 우대 제공 대학생 등 무소득자도 최대 12백만원까지 대출신청 가능 총 지원한도 : 1천억원(13개 참여은행 총 판매금액 기준),일반대출 - 아래 조건을 모두 충족하는 만 19세 이상 만 34세 이하 무주택 세대주 또는 예비세대주주)로서 주거급여수급자가 아닌 고객 (1) 보증금 1억원 이하 & 월세 70만원 이하 (2) 잔여 임대차계약기간 6개월 이상 (3) 부부합산 연소득 7천만원 이하 주) 예비세대주 : 대출실행일로부터 1개월 이내 세대주 요건을 충족하는 고객 대환대출 - 위 '일반대출' 조건을 모두 충족하고 금융기관에서 이용중인 대출 중 대출실행일로부터 1개월 이상 경과한 임차보증금 용도 대출을 연체없이 이용중인 고객(기존대출 전액상환이 가능한 고객),최대 12백만원 ※ 월 최대 50만원 이내 월세금 지급 예정금액 및 대환대출 금액 이내,및 상환 방법 대출기간 : 3년 이상 13년 이내(기한연장 불가) ※ 거치기간(0~8년) 이후 3년 또는 5년 분할상환 상환방법 : 원금균등분할상환,,,,,,,"지급 방법 매월 월세 지급일에 임대인 계좌로 월세대출금 지급(대환대출금은 일시지급하여 기존대출 상환) ※ 월세대출금 지급일에 신용관리정보 보유 및 당행대출금 연체 등 지급중단 사유에 해당하는 경우 월세대출금 지급이 불가 ※ 매월 월세대출금 지급 시 주택금융공사 보증료(연 0.05%) 납입이 필요하므로, 자동이체 잔액이 부족하여 보증료 출금이 불가한 경우 월세대출금 지급이 불가함에 유의",,,"입주 전 또는 임대차계약기간 중 ※ 단, 임대차계약종료일 6개월 전까지 대출신청 가능",,,,,"주택 및 주거용 오피스텔 ※ 전세(예정)주택이 무허가건물 또는 건물등기사항전부증명서에 소유권 권리침해(압류, 가압류, 경매 등)가 있는 주택 등인 경우 대출불가",,,,,,,,,,,,,,
KB 군 간부 월세자금대출,관리부대로부터 월세 대부승인을 받은 군 간부를 대상으로 하는 월세자금 대출상품,"부동산중개업소를 통하여 급지별 대부 지원 상한액의 10% 이상 보증금을 설정한 보증부월세 주택임대차계약을 체결하고 관리부대로부터 보증금과 월세 대부 추천을 동시에 받은 군 간부 ※ 임대인 자격 : 임차목적물을 소유한 개인, 공공주택사업자, ㈜부영주택",주택임대자금 대부(지원) 추천서 상 “월세 대부승인금액”의 2배 ※ 실제 대출금액은 대출신청시점의 대출금리에 따라 변경될 수 있습니다.,"및 상환 방법 대출기간 : 3개월 이상 3년 이내(임차계약 종료일 이내) ※ 임차목적물, 임차보증금, 월세금액 등의 변동 없는 단순 임대차기간 연장으로 관리부대의 연장 추천을 받은 경우 매회 3년 이내로 연장 가능 상환방법 : 통장자동대출(일시상환대출)",,,,,,,,,,신규임차자금 : 입주 7영업일 이전 신청 임차기간 중 : 계약종료 3개월 이전 신청,,,,,"아파트(주상복합 포함), 연립, 다세대, 단독주택(다가구주택 제외), 주거용오피스텔",,,,,,,,,,,,,,
서울특별시 청년 임차보증금대출,서울특별시의 「청년 임차보증금대출 지원사업」 융자추천고객을 대상으로 이차보전금리(2.0%)를 지원하여 낮은 금리로 이용 가능한 임차보증금 대출상품 ※ 서울시 「청년 임차보증금 융자지원사업」 모집 공고 바로가기,"서울특별시의 융자추천을 받은 고객 중 5억원 이하인 임대차계약을 체결하고 임차보증금의 5% 이상을 계약금으로 지급한 민법상 성년인 세대주 또는 세대주로 인정되는 자로서 “주택금융신용보증서”가 발급되는 고객 ※ 서울특별시「청년 임차보증금대출 지원사업」 : 서울시가 청년들의 주거비 및 주거환경 개선을 위해 만 39세 이하 사회초년생, 취업준비생, 대학(원)생에게 임차보증금 대출의 연 2.0%를 이차보전하는 융자지원 사업 - 상세자격 요건 및 신청방법은 서울시 홈페이지(http://seoul.go.kr) 또는 서울시 주택·도시계획 홈페이지(http://citybuild.seoul.go.kr)에서 확인하시기 바랍니다. ※ 세대주 인정기준 1) 세대주와 동일세대를 이루고 있는 세대원인 “배우자, 직계존비속 및 그의 배우자, 본인 및 배우자의 형제자매, 배우자의 직계존비속 및 그의 배우자” 중 하나에 해당하시는 고객 2) 대출신청일로부터 3개월(신청일 해당일 포함) 이내 결혼예정인 자","임차보증금의 88% 이내에서 최대 2천5백만원 이내 ※ 단, 실제 대출금액은 '서울특별시에서 통보한 융자추천금액'과 '주택금융공사 보증서 발급 가능금액' 중 작은 금액까지 가능","및 상환 방법 상환방법 : 일시상환방식 대출기간 : 2년 ※ 기한연장(당초 대출일로부터 최장 8년까지 가능) : 기한연장 시점에 서울특별시 관내에 전입하여 거주 중이고 해당 주택에 임대차 계약이 체결되어 있는 경우 2년 단위로 3회 연장 가능 (단, 기한연장 시마다 당초 대출금액의 10% 이상 상환하여야 함)",,,,,,,,,,신규임차 : 임대차계약서상 잔금지급일과 주민등록전입일 중 빠른 날짜로부터 3개월 이내 계약갱신 : 계약갱신일(계약서 작성일 기준)로부터 3개월 이내 [임대차계약을 자동기한연장(묵시적 갱신)한 경우에는 연장개시일로부터 3개월 이내],,,,,"임차전용면적 60m2 이하의 서울특별시 관내에 있는 주택 및 주거용 오피스텔 ※ 임차(예정)주택이 무허가건물 또는 건물등기부등본에 소유권 권리침해(압류, 가압류, 경매 등)가 있는 주택 등인 경우 제외","시기 신규임차 : 임대차계약서상 잔금납부일(입주예정일) 7일 이내에 고객의 위임을 받아 임대인 계좌로 입금 계약갱신 : 증액금액은 잔금납부일에 고객의 위임을 받아 임대인계좌로 입금함 다만, 전세보증금 증액금액 초과 대출금액 또는 영수증 등으로 증액금액의 납부사실이 확인된 경우에는 임차인 계좌로 입금가능함",,,,,,,,,,,,,
KB 1코노미 오피스텔 전세자금대출,1인가구라면 1코노미 응원 우대금리 받고 더 저렴하게! 대출고객 대상 휴대폰 수리 및 생활안심 보험서비스 혜택까지~!,"오피스텔 임대차계약을 체결한 고객 - 임차보증금이 수도권 5억원(지방 3억원) 이하인 오피스텔 임대차계약을 체결하고, 임차보증금의 5% 이상을 계약금으로 지급한 민법상 성년인 세대주 또는 세대주로 인정되는 자로서 「주택금융신용보증서」가 발급되는 고객 - 본인과 배우자(결혼예정자포함)가 합산한 주택보유수가 무주택 또는 1주택(부부합산소득 1억원이하)이내인 고객(주택보유수가 1주택인 경우 보유주택가액이 9억원 초과하는 주택이거나, 2020.7.10일이후 투기지역 또는 투기과열지구 내 취득시점 시가 3억원초과 아파트를 구입한 경우는 제외. 단, 실수요증빙시 예외취급가능)",최대 2억2천2백만원 - 임차보증금의 80% 이내 - 한국주택금융공사 보증서 발급가능금액 이내,및 상환 방법 일시상환 : 1년 이상 2년 이내(임차계약 종료일 이내) - 임대기간 연장 시 최장 10년 이내 연장 가능,,,,,,,,,,,,,,,주거용 오피스텔,,,,"제공 대출신청 시 보험가입에 동의한 고객님께 드리는 서비스로 보장기간은 대출신규일 다음날부터 대출금 전액 상환일 이내로 최장 2년(1년 단위 갱신)입니다. ※ 단, 연체 등으로 은행에 손실이 발생한 때(미수채권 또는 특수채권 편입시)에는 보험서비스 제공이 중단됩니다. 보험서비스 안내 구분 보장금액 보상내용 휴대폰 수리비용 보상 최대 30만원 (1인당/사고당) 피보험자 명의의 단말기 제품 하자 및 고장(전기적/기계적 원인에 한하며, 액정 파손 등 제외)으로 발생하는 수리비용(자기부담금 3만원 제외) 대중교통 상해사망 후유장해 최대 5천만원 대중교통수단에 탑승 중 또는 승·하차 중(승강장 내 대기 중 포함) 일어난 교통사고로 인해 사망 또는 후유장해가 발생한 경우 강도 상해사망 후유장해 최대 5천만원 강도에 의해 발생한 상해로 사망 또는 후유장해가 발생한 경우 ※ 휴대폰 수리비용 보상은 전기적/기계적 원인에 의한 단말기 고장만을 보상하며, 물리적 충격에 의한 파손 및 침수, 화재 등으로 인한 고장은 제외됩니다(지정수리업체에서 발생한 수리비용에 한하여 보상) ※ 보험담보위험, 보험금지급 등 위 보험서비스 제공과 관련된 사항은 해당 보험약관에서 정하는 바에 따르며, 가입자 본인의 보험 관련 상담은 보험가입 다음날 11일 이후 ㈜케이비손해보험 고객상담센터(☎ 02)6900-3463, 3460)를 이용해 주시기 바랍니다.",,,,,,,,,,
KB 주거행복 월세대출,보증금 있는 월세계약을 체결한 고객에게 월세자금을 지원하는 대출상품품,부동산중개업소를 통하여 주택임대차계약을 체결하고 임차보증금의 5% 이상을 계약금으로 지급하고 주택임대차계약을 체결한 민법상 성년인 세대주(단독세대주 포함)로 “서울보증보험증권”이 발급되는 고객,"최고 5천만원 이내로 아래 조건을 모두 충족하는 금액 ☞ [월 납입 월세액 X 24]이내 ☞ 임차보증금의 80% 이내 - 기존임차자금대출금 ☞ 임차물건지의 선순위 설정최고액, 월세대출금 및 기존 임차자금 대출금 합계가 시세의 80% 이내","및 상환 방법 대출기간 : 최장 2년 이내 (임대차계약 종료일 이내, 임대차기간 연장 시 최장 10년 이내 연장) 상환방법 : 일시상환(통장자동대출)",,,,,,,,,,입주 전 또는 임차기간 중 신청,,,,,"아파트(주상복합 포함), 연립, 다세대, 단독/다가구 주택, 주거용오피스텔",,,,,,,,,,,,,,
목돈 안드는 드림전세대출,"임대인이 임대차계약이 있는 본인 소유의 주택을 담보로 대출을 받고, 대출이자는 임차인이 자동이체로 납부하는 주택담보대출","- 국토교통부에서 정한 [집주인 담보대출 방식의 목돈 안드는 전세대출 이자부담부 특약]이 포함된 임대차갱신계약을 체결한 임대인 중 아래 요건을 충족하는 고객님(신규임대차계약은 불가) ㅇ 임대차계약의 임차보증금이 수도권 기준 3억원(지방 2억원) 이하 ㅇ 최초 또는 갱신임대차계약서가 부동산중개업소를 통한 계약서 ※ 수도권 : 서울특별시, 인천광역시, 경기도 지역",담보평가에 의한 대출가능금액 범위 내에서 최고 5천만원(지방은 3천만원) 이내,"및 상환방법 - 1년 이상 2년 이내 월단위 (임차계약 종료일 이내, 임차기간 연장시 당초 대출기한을 포함하여 최장 10년까지 연장가능)",,,,,,,,,,임대차갱신계약일(계약서 작성일 기준)로부터 3개월 이내 ※ 소유권이전 또는 보존일로부터 3개월 이내에는 대출 신청이 불가,,,,,"아파트, 주상복합아파트, 단독주택(다가구 포함), 연립주택(빌라 포함), 다세대주택, 주상복합주택",,,,,자격 - 최근년도 또는 최근1년간 부부합산 연소득 6천만원 이하의 무주택 세대주 ㅇ 만 20세 이상 세대주를 포함한 세대원 전원이 무주택인 고객 ㅇ 단독세대주도 가능하나 만 35세 미만 단독세대주인 경우 취급불가 - 주택임대차보호법상 임차인의 대항요건(주택의 인도 및 주민등록 전입)과 확정일자부 임대차계약서를 갖추어 우선변제권을 확보한 임차인,,,,,,,,,
광주광역시 재난관리기금 협약대출,광주광역시의 융자추천을 받은 고객님께 전세자금대출을 지원하는 대출상품 KB국민은행 광주종합금융센터 또는 광주시청(점)에서만 대출신청 가능,"광주광역시의 융자추천을 받은 고객 중 임차보증금이 지방 3억원(수도권 5억원) 이하인 임대차계약을 체결하고, 임차보증금의 5% 이상을 계약금으로 지급한 민법상 성년인 세대주 또는 세대주로 인정되는 자로서 「주택금융신용보증서」가 발급되는 고객 본인과 배우자(결혼예정자 포함)가 합산한 주택보유수가 무주택 또는 1주택 이내인 고객(주택보유수가 1주택인 경우 부부합산 연 소득 1억원 이하이고 보유주택가액이 9억원 이하인 고객. 단, 보유주택 9억원 초과인 경우라도 실수요 증빙 시 예외취급가능)",최대 3천만원 이내에서 아래 중 작은 금액 이내 (만원 단위) ① 광주광역시 융자추천금액 ② 임차보증금의 70% ③ 주택금융신용보증서 보증한도에 따른 대출가능금액,및 상환 방법 대출기간 : 8년 상환방법 : 3년 거치 후 5년 원금균등 분할상환 ※ 약정납입일 지정 불가,,,,,,,,,,신규임차 : 임대차계약서상 잔금지급일과 주민등록전입일 중 빠른 날짜로부터 3개월 이내 계약갱신 : 계약갱신일(계약서 작성일 기준)로부터 3개월 이내[임대차계약을 자동기한연장(묵시적 갱신)한 경우에는 연장개시일로부터 3개월 이내],,,,,"주택(건물등기사항전부증명서 상의 용도가 주택으로 표시된 건물) 및 주거용 오피스텔, 노인복지주택 ※ 전세(예정)주택이 무허가건물 또는 건물등기사항전부증명서에 소유권의 권리침해(압류, 가압류, 경매 등)가 있는 주택 등인 경우 대출 불가",,,,,,,,,,,,,,
전세보증금반환보증(단독),「전세보증금반환보증」은 전세계약 종료 시 임대인이 임차인에게 반환해야하는 전세보 증금의 반환을 주택도시보증공사가 책임지는 보증상품입니다,,,,,,,,,,,,,,,,,,,,,,,,신규 전세계약 잔금지급일과 전입신고일 중 늦은 날 ~ 전세계약기간의 2분의 1이 경과하기 전 갱신 전세계약 갱신 전 전세계약기간 만료일 이전 1개월 ~ 갱신 전세계약서상 전세계약기간의 2분의 1이 경과하기 전,"임차보증금이 수도권 7억원, 그외 지역 5억원 이내로 임차계약기간이 1년 이상인 전세계약자 (임차계약내용 필수 사항 : 계약당사자 및 공인중개업자, 계약체결일 및 계약기간, 주택 소재지 및 유형, 전세보증금 및 임차료) 전입신고, 점유, 확정일자 취득을 통해 대항력과 우선변제권을 확보한 자 임대인이 개인인 경우(임대인이 법인인 경우 도시보증공사에서 신청 가능합니다) 다음의 경우 보증대상자에서 제외됩니다 (1) 신용관리대상자 및 당행/타금융기관 연체중인 자 등 보증제한 대상자 (2) 타 보증기관보증서(주택도시보증공사 보증이 아닌 전세대출보증)를 담보로 취급한 전세자금대출 보유 고객 ※ 단, 채권보전조치(질권설정, 채권양도, 전세권부근저당권)가 없는 한국주택금융공사 보증서를 담보로 취급한 전세자금대출(기금 포함) 보유고객은 상호 가입 가능",(보증한도 이내에서) 보증신청인이 신청한 금액 ※보증한도 〓 주택가격 x 담보인정비율 - 선순위 채권 등,및 보증료납입방법 보증서발급일 ~ 전세계약기간의 만료일 후 1개월 일시납(KB국민은행 계좌출금),"아파트(주상복합포함), 연립, 다세대, 주거용오피스텔(구분등기필수), 단독주택(다가구, 다중주택 포함) ※ 주거용오피스텔: 중개업자 물건확인서 등을 통해 주거용으로 확인되는 경우 보증대상이 아닌경우 - 임대차계약이 보증금 없는 월세, 부분전세, 전전세(재임대) 계약인 경우 - 미등기 부동산 - 소유권에 대한 권리침해(경매신청, 압류, 가압류, 가처분, 가등기 등)이 있는 부동산 - 건축물관리대장에 위반건축물로 기재된 부동산 - 전세권 설정 부동산 - 선순위 채권금액이 주택가격의 60%를 초과하는 부동산(단독, 다가구의 경우 주택가격의 80%를 초과하는 부동산) - 보증신청 관련서류(주민등록등본, 가족관계증명서, 건강보험증 등)로 임차주택이 직계존비속, 배우자의 직계존속 소유주택으로 확인된 경우","신청시 유의사항 보증신청방법 * 인터넷대출 - KB국민은행 홈페이지(www.kbstar.com) * 스마트폰 - KB스타뱅킹, KB스마트대출(모바일Web / www.kbsmartloan.com) 가능시간 * 24시간(토요일, 공휴일 포함) * 시스템 점검에 따른 거래제한 시간(23:50~00:10)은 대출신청 불가 비대면 신청이 불가한 경우(영업점 상담 대상) * 단독/다가구 주택 * 공동임차인이 있는 경우 * 임대인이 3인 이상인 경우 * 외국인/재외국민",,,
